NUM;AREA;LOCUS;BUCKET;CLASS;TYPE;MATERIAL;TECHNIQUE;DECORATION;PRESERVATION;FRAGMENTS;HEIGHT;LENGHT;WIDTH;THICKNESS;DIAMETER;PERF. DIAM.;WEIGHT;DESCRIPTION;
327;C east;F. 977;439/b;other;pipe;pottery;hand;incised;fragmentary;1;3.9;3.4+;2.8;;2.5;1.9;;Head of a pottery islamic pipe, with a pointed incised decoration on two bands and vertical stripes on the base.;
328;H;F.1124;616/e;stone tool&weapon;grinder;basalt;hand;;fragmentary;1;11;10+;14;;;;;"Grinder of medium grained basalt; deep plano-convex section.";
329;C;W.970;442/a;stone vessel;mortar;basalt;hand;;fragmentary;1;12.9;;;;24;;;"Rim of big mortar of medium-grained basalt, with small rounded handle, deep depression, flat rim. Rim: 3.6 cm; wall: 4; handle: 5 cm.";
330;H;F.1124;616/c;stone vessel;indeterminate;basalt;hand;;fragmentary;1;8.8+;;;;;;;Stone vessel of fine grained basalt.;
331;C east;F. 990;443/a;Ornament;bracelet;glass;hand;;fragmentary;1;;;;0.7;7;;;Fragment of a glass bracelet, with triangular section.;
332;C;F. 987;437/a;clay figurine;animal figurine;clay;hand;applied;fragmentary;1;5.3+;;4.8+;2+;;;;Part of a leg of an animal figurine, with harness.;
333;H;F.1124;616/g;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;2.5+;5.8+;4.7+;;;;;Body of an animal figurine, with harness.;
334;H;F.1124;616/f;stone tool&weapon;mortar;basalt;hand;;fragmentary;1;6.8;;;;;;;"Mortar of medium grained basalt, shallow depression; base 5 cm.";
335;H;F.1127;620/d;other;indeterminate;iron;hand;;fragmentary;1;;7.8;;1.9;;;;Iron object.;
337;C east;F.963;441/d;metal ornament;pin;iron;hand;;nearly complete;1;;10.5;;0.7;;;;Iron pin.;
338;G;F.1015;507/f;stone vessel;bowl;basalt;hand;;fragmentary;1;7.6+;;;;26;;;"Bowl of fine grained basalt; rim 2 cm, 1.6 cm, base 2.1 cm.";
339;G;F.1015;507/g;stone vessel;vessel;basalt;hand;;fragmentary;1;5.5+;;;;25;;;"Stone vessel of fine grained basalt; rim 1.7 cm, wall 1.5 cm.";
340;G;F.1061;538/c;pottery figurine;Antropomorphic figurine;pottery;mold;;nearly complete;1;8.6;;5.6;3;;;;Pottery figurine of a seated veiled woman.;
341;A west;F.659;134/a;ornament;bead;stone;hand;;nearly complete;1;;1.4+;;;1.4;0.2;;Cylindrical stone bead.;
342;H;F.1124;618/m;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;3.4+;5.7+;3.4;;;;;Body and fore legs of an animal figurine, with harness.;
343;H;F.1124;618/d;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;4.5+;8.5+;5.2+;;;;;Body of an animal figurine, with harness.;
344;C;F. 1300;448/a;Ornament;bracelet;glass;hand;;fragmentary;1;;;;0.4;5;;;Fragment of a glass bracelet, with a nearly square section.;
345;C;F.963;441/b;inscription; monumetal inscription;basalt;hand;incised;fragmentary;1;20+;;12+;8.7+;;;;Iscription fragment of fine grained basalt;
346;H;F.1117;611/c;metal tool and weapon;indeterminate;iron;hand;;fragmentary;1;;6.1+;;1.7+;;;;Iron fragment.;
348;H;F.1117;611/b;clay figurine;Animal figurine;clay;hand;applied;fragmentary;2;5.1+;8.4+;4.7;;;;;Body of an animal figurine, with harness.;
349;H;F.1124;618/b;textile tool;spindle whorl;stone;hand;;complete;1;;;;1;2.1;0.5;;Donut shaped stone spindle whorl.;
